country,state,city,gender,senior_citizen,partner,dependents,tenure_months,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract,paperless_billing,payment_method,monthly_charges,total_charges,churn_label,churn_value,churn_score,cltv,churn_reason,tenure_group
United States,California,Los Angeles,Female,0,0,1,15,1,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,1,Credit card (automatic),99.1,1426.4,Yes,1,82,2966,Competitor offered more data,1–2 years
United States,California,Los Angeles,Female,1,1,1,8,1,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,1,Credit card (automatic),80.65,633.3,Yes,1,69,5302,Competitor made better offer,0–1 year
United States,California,Los Angeles,Male,1,0,1,18,1,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,1,Electronic check,95.45,1752.55,Yes,1,81,3179,Competitor made better offer,1–2 years
United States,California,Beverly Hills,Female,0,0,1,9,1,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,0,Electronic check,94.4,857.25,Yes,1,96,5571,Price too high,0–1 year
United States,California,Huntington Park,Female,0,0,1,1,1,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,1,Electronic check,79.35,79.35,Yes,1,87,2483,Product dissatisfaction,0–1 year
United States,California,Lynwood,Female,0,1,1,7,1,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,1,Bank transfer (automatic),75.15,496.9,Yes,1,70,3457,Service dissatisfaction,0–1 year
United States,California,Marina Del Rey,Female,0,0,1,12,1,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,1,Electronic check,78.95,927.35,Yes,1,86,5806,Lack of self-service on Website,0–1 year
United States,California,Inglewood,Male,0,0,0,5,1,No,No,No,No,No,No,No,No,Month-to-month,0,Mailed check,21.05,113.85,Yes,1,66,2604,Network reliability,0–1 year
United States,California,Inglewood,Female,1,1,1,25,1,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,98.5,2514.5,Yes,1,88,5337,Limited range of services,2–3 years
United States,California,Santa Monica,Male,0,1,0,68,1,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,1,Bank transfer (automatic),110.0,7611.85,Yes,1,86,5034,Lack of affordable download/upload speed,5+ years
United States,California,Torrance,Male,0,1,1,55,1,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,1,Electronic check,96.75,5238.9,Yes,1,75,5154,Long distance charges,4–5 years
United States,California,Whittier,Female,1,1,1,37,1,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,76.5,2868.15,Yes,1,67,2793,Extra data charges,3–4 years
United States,California,Whittier,Female,0,1,1,10,1,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,1,Electronic check,100.25,1064.65,Yes,1,87,5998,Price too high,0–1 year
United States,California,La Habra,Male,0,0,1,3,1,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,74.4,229.55,Yes,1,76,4415,Product dissatisfaction,0–1 year
United States,California,Pico Rivera,Female,1,0,1,27,1,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,1,Electronic check,78.05,2135.5,Yes,1,95,4638,Service dissatisfaction,2–3 years
United States,California,Avalon,Female,0,1,0,25,0,No,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,1,Credit card (automatic),58.6,1502.65,Yes,1,99,4190,Lack of self-service on Website,2–3 years
United States,California,Harbor City,Male,0,0,0,1,0,No,DSL,No,No,No,No,No,Yes,Month-to-month,1,Electronic check,35.45,35.45,Yes,1,80,2301,Network reliability,0–1 year
United States,California,Lakewood,Male,0,0,0,2,1,No,DSL,No,No,No,No,No,No,Month-to-month,0,Electronic check,44.35,81.25,Yes,1,76,2570,Don't know,0–1 year
United States,California,Los Alamitos,Female,1,1,1,1,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Mailed check,70.45,70.45,Yes,1,76,3964,Don't know,0–1 year
United States,California,San Pedro,Female,0,0,0,8,1,Yes,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,0,Electronic check,71.15,563.65,Yes,1,66,2662,Don't know,0–1 year
United States,California,Carson,Male,0,0,0,1,1,No,DSL,No,No,No,No,No,No,Month-to-month,1,Electronic check,45.65,45.65,Yes,1,73,2600,Poor expertise of online support,0–1 year
United States,California,Long Beach,Male,0,0,1,7,1,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,0,Mailed check,95.0,655.5,Yes,1,94,2786,Poor expertise of phone support,0–1 year
United States,California,Altadena,Female,0,1,1,20,1,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,0,Electronic check,82.4,1592.35,Yes,1,86,5719,Price too high,1–2 years
United States,California,Monrovia,Female,0,0,1,4,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Bank transfer (automatic),70.9,273.0,Yes,1,75,4287,Product dissatisfaction,0–1 year
United States,California,Sierra Madre,Male,1,1,0,58,0,No,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,1,Electronic check,45.3,2651.2,Yes,1,100,5444,Service dissatisfaction,4–5 years
United States,California,Tujunga,Female,0,1,1,2,1,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,1,Electronic check,104.4,242.8,Yes,1,83,4690,Lack of self-service on Website,0–1 year
United States,California,Pasadena,Female,0,1,0,53,1,No,Fiber optic,No,No,Yes,No,Yes,Yes,One year,1,Bank transfer (automatic),94.85,5000.2,Yes,1,80,4328,Network reliability,4–5 years
United States,California,Pasadena,Female,1,0,1,15,1,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Mailed check,74.45,1145.7,Yes,1,99,5717,Limited range of services,1–2 years
United States,California,Pasadena,Female,1,0,1,7,1,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,0,Bank transfer (automatic),76.45,503.6,Yes,1,81,4419,Lack of affordable download/upload speed,0–1 year
United States,California,Glendale,Female,0,0,0,1,0,No,DSL,No,Yes,No,No,No,No,Month-to-month,0,Bank transfer (automatic),29.95,29.95,Yes,1,95,4534,Long distance charges,0–1 year
United States,California,Glendale,Male,0,0,1,8,1,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,0,Bank transfer (automatic),84.5,662.65,Yes,1,86,2152,Extra data charges,0–1 year
United States,California,Glendale,Female,0,0,1,13,1,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,1,Electronic check,79.25,1111.65,Yes,1,73,5142,Price too high,1–2 years
United States,California,Glendale,Female,0,1,0,1,0,No,DSL,No,No,No,No,No,No,Month-to-month,1,Electronic check,24.8,24.8,Yes,1,94,4851,Product dissatisfaction,0–1 year
United States,California,Canoga Park,Male,0,1,1,6,1,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,1,Electronic check,91.0,531.0,Yes,1,94,2283,Service dissatisfaction,0–1 year
United States,California,Mission Hills,Male,0,0,1,1,1,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,0,Electronic check,79.9,79.9,Yes,1,98,3394,Lack of self-service on Website,0–1 year
United States,California,Santa Clarita,Female,0,0,1,19,1,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,1,Electronic check,106.6,1934.45,Yes,1,71,3764,Network reliability,1–2 years
United States,California,Sun Valley,Male,0,0,0,2,1,No,DSL,No,No,No,No,No,No,Month-to-month,1,Credit card (automatic),46.0,84.5,Yes,1,76,2667,Don't know,0–1 year
United States,California,Stevenson Ranch,Female,0,0,1,4,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,70.15,268.35,Yes,1,67,2227,Don't know,0–1 year
United States,California,Panorama City,Male,0,1,0,4,1,No,DSL,No,No,No,Yes,No,No,Month-to-month,0,Mailed check,50.05,179.35,Yes,1,82,3394,Don't know,0–1 year
United States,California,Van Nuys,Female,0,1,0,1,1,No,DSL,No,No,No,No,Yes,No,Month-to-month,0,Mailed check,55.2,55.2,Yes,1,81,3638,Poor expertise of online support,0–1 year
United States,California,Burbank,Male,0,0,1,1,1,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,1,Mailed check,84.6,84.6,Yes,1,66,2484,Poor expertise of phone support,0–1 year
United States,California,North Hollywood,Male,0,0,0,2,1,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,1,Mailed check,54.4,114.1,Yes,1,81,2556,Price too high,0–1 year
United States,California,North Hollywood,Female,1,0,1,11,1,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,1,Electronic check,95.0,1120.3,Yes,1,85,5980,Product dissatisfaction,0–1 year
United States,California,Covina,Male,1,0,0,15,1,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,1,Electronic check,74.4,1074.3,Yes,1,86,4616,Service dissatisfaction,1–2 years
United States,California,Covina,Male,0,0,0,1,1,No,DSL,Yes,No,No,No,No,No,Month-to-month,1,Mailed check,48.55,48.55,Yes,1,77,5687,Lack of self-service on Website,0–1 year
United States,California,El Monte,Female,0,1,0,2,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,0,Electronic check,70.4,147.15,Yes,1,75,5687,Network reliability,0–1 year
United States,California,El Monte,Male,1,1,0,1,0,No,DSL,No,Yes,No,No,Yes,No,Month-to-month,0,Electronic check,40.2,40.2,Yes,1,65,5828,Limited range of services,0–1 year
United States,California,La Puente,Female,0,1,0,2,1,No,DSL,No,No,No,No,No,No,Month-to-month,1,Credit card (automatic),44.6,80.55,Yes,1,99,4884,Lack of affordable download/upload speed,0–1 year
United States,California,La Puente,Male,1,0,0,3,0,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,1,Electronic check,41.15,132.2,Yes,1,96,2314,Long distance charges,0–1 year
United States,California,Rowland Heights,Male,1,0,0,13,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,106.9,1364.3,Yes,1,84,2494,Extra data charges,1–2 years
United States,California,Ontario,Male,0,0,0,59,1,No,No,No,No,No,No,No,No,Two year,0,Mailed check,19.35,1099.6,Yes,1,83,5084,Price too high,4–5 years
United States,California,Ontario,Female,1,0,0,16,1,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,1,Electronic check,94.45,1511.2,Yes,1,81,3810,Product dissatisfaction,1–2 years
United States,California,Pomona,Male,0,0,0,1,0,No,DSL,No,No,No,No,No,No,Month-to-month,0,Bank transfer (automatic),24.8,24.8,Yes,1,73,5087,Service dissatisfaction,0–1 year
United States,California,Pomona,Male,0,0,0,1,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,0,Mailed check,70.6,70.6,Yes,1,69,3338,Lack of self-service on Website,0–1 year
United States,California,Rosemead,Male,0,1,0,5,1,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,1,Electronic check,85.4,401.1,Yes,1,80,3676,Network reliability,0–1 year
United States,California,San Dimas,Female,0,1,0,52,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,105.05,5624.85,Yes,1,65,4839,Don't know,4–5 years
United States,California,West Covina,Male,0,1,0,18,1,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,0,Mailed check,95.15,1779.95,Yes,1,68,4643,Don't know,1–2 years
United States,California,Alhambra,Male,0,1,0,1,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,0,Electronic check,70.0,70.0,Yes,1,97,4094,Don't know,0–1 year
United States,California,Alpine,Male,1,0,0,8,1,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,1,Electronic check,74.5,606.55,Yes,1,80,4345,Poor expertise of online support,0–1 year
United States,California,Bonita,Male,0,0,0,10,1,No,DSL,No,No,No,No,No,No,Month-to-month,1,Credit card (automatic),44.85,435.4,Yes,1,83,4061,Poor expertise of phone support,0–1 year
United States,California,Boulevard,Male,1,0,0,24,1,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,76.1,1712.7,Yes,1,98,2018,Price too high,1–2 years
United States,California,Guatay,Female,0,0,0,1,1,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,1,Mailed check,73.6,73.6,Yes,1,80,2565,Product dissatisfaction,0–1 year
United States,California,Jacumba,Female,1,0,0,4,1,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,1,Electronic check,95.45,396.1,Yes,1,85,3677,Service dissatisfaction,0–1 year
United States,California,Mount Laguna,Male,1,1,0,32,1,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,74.9,2303.35,Yes,1,69,4105,Lack of self-service on Website,2–3 years
United States,California,Borrego Springs,Male,0,0,0,5,1,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,1,Electronic check,80.6,415.55,Yes,1,69,5715,Network reliability,0–1 year
United States,California,Carlsbad,Female,0,1,0,38,1,No,DSL,Yes,Yes,No,Yes,Yes,Yes,One year,0,Credit card (automatic),80.3,3058.65,Yes,1,81,2071,Limited range of services,3–4 years
United States,California,Del Mar,Male,1,1,0,24,1,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,93.15,2231.05,Yes,1,73,2212,Lack of affordable download/upload speed,1–2 years
United States,California,El Cajon,Female,1,0,0,54,1,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,One year,0,Bank transfer (automatic),82.45,4350.1,Yes,1,83,4149,Long distance charges,4–5 years
United States,California,Escondido,Female,1,0,0,2,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,70.35,139.05,Yes,1,73,2671,Extra data charges,0–1 year
United States,California,Oceanside,Female,0,0,0,7,1,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,73.85,511.25,Yes,1,67,2473,Price too high,0–1 year
United States,California,Pala,Female,0,0,0,2,1,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,0,Mailed check,80.6,155.8,Yes,1,92,2683,Product dissatisfaction,0–1 year
United States,California,Palomar Mountain,Male,0,1,0,68,1,Yes,DSL,No,Yes,Yes,Yes,No,Yes,One year,1,Bank transfer (automatic),75.8,5293.95,Yes,1,81,4903,Service dissatisfaction,5+ years
United States,California,Pauma Valley,Female,0,0,0,43,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,1,Electronic check,104.6,4759.85,Yes,1,91,5250,Lack of self-service on Website,3–4 years
United States,California,Ranchita,Male,0,1,0,63,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,103.4,6603.0,Yes,1,98,4352,Network reliability,5+ years
United States,California,Valley Center,Female,0,0,0,2,1,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,1,Electronic check,90.4,168.2,Yes,1,76,4157,Don't know,0–1 year
United States,California,San Diego,Male,0,1,0,4,1,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,1,Bank transfer (automatic),84.8,371.9,Yes,1,73,4939,Don't know,0–1 year
United States,California,San Diego,Female,1,0,0,21,0,No,DSL,Yes,No,No,No,Yes,No,Month-to-month,1,Electronic check,41.9,840.1,Yes,1,97,4778,Don't know,1–2 years
United States,California,San Diego,Female,0,0,0,10,1,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,1,Bank transfer (automatic),80.25,846.0,Yes,1,85,3598,Poor expertise of online support,0–1 year
United States,California,San Diego,Male,1,1,0,27,0,No,DSL,Yes,No,No,No,No,No,Month-to-month,0,Credit card (automatic),30.75,805.1,Yes,1,91,2927,Poor expertise of phone support,2–3 years
United States,California,San Diego,Male,0,0,0,5,1,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,0,Bank transfer (automatic),96.5,492.55,Yes,1,98,5383,Price too high,0–1 year
United States,California,San Diego,Male,0,0,0,2,1,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,1,Electronic check,85.65,181.5,Yes,1,73,3878,Product dissatisfaction,0–1 year
United States,California,San Diego,Female,0,1,0,25,1,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,1,Bank transfer (automatic),104.95,2566.5,Yes,1,66,3642,Service dissatisfaction,2–3 years
United States,California,San Diego,Male,0,0,0,1,1,No,DSL,No,Yes,No,No,No,No,Month-to-month,0,Mailed check,50.65,50.65,Yes,1,76,2431,Don't know,0–1 year
United States,California,Indio,Male,0,0,0,1,1,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,1,Credit card (automatic),90.85,90.85,Yes,1,81,3424,Network reliability,0–1 year
United States,California,Indian Wells,Male,1,1,0,11,1,No,No,No,No,No,No,No,No,Month-to-month,0,Mailed check,19.95,214.75,Yes,1,80,5888,Limited range of services,0–1 year
United States,California,Palm Desert,Female,1,1,0,55,1,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,1,Electronic check,85.45,4874.7,Yes,1,100,5502,Lack of affordable download/upload speed,4–5 years
United States,California,Desert Hot Springs,Female,0,0,0,34,1,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,1,Credit card (automatic),73.95,2524.45,Yes,1,94,5795,Long distance charges,2–3 years
United States,California,Holtville,Male,0,1,0,69,1,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Credit card (automatic),99.45,7007.6,Yes,1,80,4020,Extra data charges,5+ years
United States,California,Niland,Female,0,0,0,1,1,No,No,No,No,No,No,No,No,Month-to-month,1,Mailed check,19.9,19.9,Yes,1,92,3351,Price too high,0–1 year
United States,California,North Palm Springs,Male,0,0,0,1,1,No,No,No,No,No,No,No,No,Month-to-month,1,Mailed check,19.6,19.6,Yes,1,95,3448,Product dissatisfaction,0–1 year
United States,California,Ocotillo,Male,1,0,0,3,1,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,1,Electronic check,81.35,233.7,Yes,1,73,2818,Service dissatisfaction,0–1 year
United States,California,Seeley,Female,0,1,0,22,1,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,0,Electronic check,83.3,1845.9,Yes,1,88,3804,Lack of self-service on Website,1–2 years
United States,California,Thermal,Female,1,0,0,1,1,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,1,Bank transfer (automatic),75.3,75.3,Yes,1,67,4902,Network reliability,0–1 year
United States,California,Adelanto,Female,0,1,0,61,1,No,No,No,No,No,No,No,No,Month-to-month,1,Mailed check,19.4,1182.55,Yes,1,82,4221,Don't know,5+ years
United States,California,Apple Valley,Male,0,0,0,12,1,No,DSL,No,No,No,No,No,No,Month-to-month,1,Bank transfer (automatic),45.4,518.9,Yes,1,68,2887,Don't know,0–1 year
United States,California,Crestline,Female,0,0,0,60,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,105.9,6396.45,Yes,1,84,4105,Don't know,4–5 years
United States,California,Daggett,Female,0,0,0,1,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,0,Mailed check,69.55,69.55,Yes,1,73,2792,Competitor had better devices,0–1 year
United States,California,Ludlow,Female,0,1,0,28,1,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,1,Electronic check,81.05,2227.1,Yes,1,98,5201,Competitor had better devices,2–3 years
United States,California,Lucerne Valley,Male,0,1,0,4,1,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,0,Electronic check,101.15,385.9,Yes,1,84,4417,Competitor had better devices,0–1 year
United States,California,Lytle Creek,Male,0,0,0,7,1,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,1,Electronic check,99.8,673.25,Yes,1,98,2031,Competitor had better devices,0–1 year
United States,California,Phelan,Female,0,1,0,13,1,No,DSL,No,No,No,No,No,Yes,Month-to-month,0,Electronic check,55.95,734.35,Yes,1,91,4498,Competitor had better devices,1–2 years
United States,California,Redlands,Male,0,0,0,1,1,No,DSL,No,No,No,No,No,Yes,Month-to-month,1,Electronic check,55.0,55.0,Yes,1,71,4877,Competitor had better devices,0–1 year
United States,California,Rialto,Female,0,1,0,1,1,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,1,Electronic check,74.7,74.7,Yes,1,80,5980,Competitor had better devices,0–1 year
United States,California,Running Springs,Male,0,0,0,24,1,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,1,Electronic check,80.25,1861.5,Yes,1,77,4418,Competitor had better devices,1–2 years
United States,California,Tecopa,Male,0,0,0,5,1,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,1,Electronic check,96.1,453.4,Yes,1,66,4192,Competitor had better devices,0–1 year
United States,California,Victorville,Female,0,0,0,15,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,0,Bank transfer (automatic),69.0,994.8,Yes,1,73,5671,Competitor had better devices,1–2 years
United States,California,Wrightwood,Female,0,1,0,48,0,No,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,1,Bank transfer (automatic),45.3,2145.0,Yes,1,65,4926,Price too high,3–4 years
United States,California,San Bernardino,Female,0,1,0,8,1,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,1,Electronic check,83.55,680.05,Yes,1,65,2879,Product dissatisfaction,0–1 year
United States,California,San Bernardino,Male,0,0,0,1,1,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,74.35,74.35,Yes,1,93,2814,Service dissatisfaction,0–1 year
United States,California,Riverside,Female,0,1,0,2,1,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,1,Electronic check,74.4,139.4,Yes,1,77,4263,Lack of self-service on Website,0–1 year
United States,California,Riverside,Male,0,0,0,22,0,No,DSL,No,Yes,Yes,No,No,Yes,One year,1,Bank transfer (automatic),43.75,903.6,Yes,1,66,3099,Network reliability,1–2 years
United States,California,Riverside,Female,1,0,0,5,0,No,DSL,No,Yes,No,No,No,No,Month-to-month,0,Electronic check,28.45,131.05,Yes,1,89,4099,Limited range of services,0–1 year
United States,California,March Air Reserve Base,Female,0,0,0,12,1,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,Month-to-month,1,Bank transfer (automatic),99.7,1238.45,Yes,1,76,2538,Lack of affordable download/upload speed,0–1 year
United States,California,Hemet,Female,1,0,0,20,1,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,1,Electronic check,94.1,1782.4,Yes,1,87,2666,Long distance charges,1–2 years
United States,California,Homeland,Male,0,1,0,2,1,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,1,Electronic check,94.2,167.5,Yes,1,72,3715,Don't know,0–1 year
United States,California,Idyllwild,Female,0,1,0,6,1,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,1,Electronic check,80.5,502.85,Yes,1,98,5032,Price too high,0–1 year
United States,California,Moreno Valley,Female,1,1,0,5,1,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,74.35,334.8,Yes,1,82,5273,Product dissatisfaction,0–1 year
United States,California,Murrieta,Male,0,0,0,40,1,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,0,Bank transfer (automatic),104.8,4131.95,Yes,1,88,3492,Service dissatisfaction,3–4 years
United States,California,Perris,Female,1,1,0,27,1,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,1,Bank transfer (automatic),75.2,1929.35,Yes,1,99,4517,Lack of self-service on Website,2–3 years
United States,California,Sun City,Female,0,0,0,23,1,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,0,Bank transfer (automatic),75.6,1758.6,Yes,1,81,2115,Network reliability,1–2 years
United States,California,Sun City,Male,0,1,0,34,1,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,100.05,3480.0,Yes,1,72,2568,Don't know,2–3 years
United States,California,Irvine,Female,0,0,0,1,1,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,1,Electronic check,85.0,85.0,Yes,1,80,5679,Don't know,0–1 year
United States,California,Lake Forest,Male,0,0,0,10,1,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,1,Bank transfer (automatic),86.05,834.1,Yes,1,85,2966,Don't know,0–1 year
United States,California,Huntington Beach,Male,0,0,0,13,0,No,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,1,Credit card (automatic),45.55,597.0,Yes,1,74,4856,Poor expertise of online support,1–2 years
United States,California,Huntington Beach,Male,0,1,0,39,1,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,1,Mailed check,86.3,3266.0,Yes,1,98,3364,Poor expertise of phone support,3–4 years
